run_id,run_number,started_at,completed_at,duration_seconds,status,pipeline_type
31104523812,50,2026-08-06T11:30:00Z,2026-08-06T11:31:30Z,90,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
31102981745,49,2026-08-06T11:25:00Z,2026-08-06T11:26:20Z,80,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
31099823101,48,2026-08-06T11:20:00Z,2026-08-06T11:21:10Z,70,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
31098412953,47,2026-08-06T11:15:00Z,2026-08-06T11:16:35Z,95,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
31097230491,46,2026-08-06T11:10:00Z,2026-08-06T11:11:30Z,90,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
31096518237,45,2026-08-06T11:05:00Z,2026-08-06T11:06:20Z,80,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
31095392014,44,2026-08-06T11:00:00Z,2026-08-06T11:01:20Z,80,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
31094812399,43,2026-08-06T10:55:00Z,2026-08-06T10:56:20Z,80,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
31093129485,42,2026-08-06T10:50:00Z,2026-08-06T10:51:20Z,80,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
31092837411,41,2026-08-06T10:45:00Z,2026-08-06T10:46:30Z,90,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
31091563209,40,2026-08-06T10:40:00Z,2026-08-06T10:41:20Z,80,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
31091120345,39,2026-08-06T10:35:00Z,2026-08-06T10:36:10Z,70,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
31090875122,38,2026-08-06T10:30:00Z,2026-08-06T10:31:15Z,75,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
31090712390,37,2026-08-06T10:25:00Z,2026-08-06T10:26:30Z,90,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
31090623912,36,2026-08-06T10:20:00Z,2026-08-06T10:21:20Z,80,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
31090591283,35,2026-08-06T10:15:00Z,2026-08-06T10:16:10Z,70,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
31090518342,34,2026-08-06T10:10:00Z,2026-08-06T10:11:30Z,90,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
31090499120,33,2026-08-06T10:05:00Z,2026-08-06T10:06:20Z,80,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
31090472183,32,2026-08-06T10:00:00Z,2026-08-06T10:01:10Z,70,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
31090454135,31,2026-08-06T09:45:44Z,2026-08-06T09:47:31Z,107,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
31090195372,30,2026-08-06T09:42:02Z,2026-08-06T09:44:12Z,130,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
31090176432,29,2026-08-06T09:43:30Z,2026-08-06T09:44:45Z,75,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
31090159191,28,2026-08-06T09:41:30Z,2026-08-06T09:43:17Z,107,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
31059584892,27,2026-08-06T00:24:10Z,2026-08-06T00:27:18Z,188,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
31051468168,26,2026-08-05T22:06:45Z,2026-08-05T22:10:09Z,204,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
30766057292,25,2026-08-02T20:37:53Z,2026-08-02T20:40:29Z,156,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
30765938203,24,2026-08-02T20:34:40Z,2026-08-02T20:35:47Z,67,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
30765712493,23,2026-08-02T20:30:00Z,2026-08-02T20:31:30Z,90,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
30765571667,22,2026-08-02T20:25:12Z,2026-08-02T20:26:25Z,73,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
30765239182,21,2026-08-02T20:15:00Z,2026-08-02T20:16:20Z,80,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
30764918237,20,2026-08-02T20:05:00Z,2026-08-02T20:06:10Z,70,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
30764542980,19,2026-08-02T19:58:08Z,2026-08-02T19:59:38Z,90,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
30764479836,18,2026-08-02T19:56:21Z,2026-08-02T19:57:22Z,61,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
30764129384,17,2026-08-02T19:40:00Z,2026-08-02T19:41:30Z,90,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
30763812390,16,2026-08-02T19:35:00Z,2026-08-02T19:36:20Z,80,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
30763347626,15,2026-08-02T19:25:53Z,2026-08-02T19:27:35Z,102,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
30752183920,14,2026-08-01T09:05:00Z,2026-08-01T09:06:10Z,70,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
30751928374,13,2026-08-01T09:00:00Z,2026-08-01T09:01:20Z,80,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
30750239182,12,2026-08-01T08:55:00Z,2026-08-01T08:56:15Z,75,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
30748192374,11,2026-08-01T08:50:00Z,2026-08-01T08:51:30Z,90,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
30747182930,10,2026-08-01T08:45:00Z,2026-08-01T08:46:20Z,80,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
30745238192,9,2026-08-01T08:40:00Z,2026-08-01T08:41:10Z,70,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
30744182390,8,2026-08-01T08:35:00Z,2026-08-01T08:36:30Z,90,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
30743281930,7,2026-08-01T08:30:00Z,2026-08-01T08:31:20Z,80,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
30742193820,6,2026-08-01T08:25:00Z,2026-08-01T08:26:10Z,70,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
30740182391,5,2026-08-01T08:20:00Z,2026-08-01T08:21:15Z,75,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
30738192301,4,2026-08-01T08:15:00Z,2026-08-01T08:16:30Z,90,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
30737192830,3,2026-08-01T08:10:00Z,2026-08-01T08:11:20Z,80,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
30735281930,2,2026-08-01T08:05:00Z,2026-08-01T08:06:10Z,70,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
30734182390,1,2026-08-01T08:00:00Z,2026-08-01T08:01:10Z,70,completed,"DevSecOps CI - Build, Scan, Sign, Attest & Push"
